_id,name,Minimum Fixation Duration,Maximum Off-Target Fixations,visitCount,visitDurationMean,visitDurationMedian
jmHvbzbCeKAr9oGyb,Analysis,0,0,6098,2917.620859,1842
rAhHJPw5Yy3jHB83J,Analysis,0,1,5386,3617.128481,2290
gdqYj25AowwKuWns6,Analysis,0,2,4575,4337.174426,2805
Lu8cbc7cXf7GkEK4y,Analysis,0,3,4106,5040.254019,3286
KbD6PWquRHyfYEQzx,Analysis,0,4,3734,5753.900107,3659
XzEQgKWqiMbNeCG23,Analysis,0,5,3438,6465.521524,4181.5
qDuSLqmhBNGh6AJCq,Analysis,60,0,6062,2934.407786,1858
LS3p4e2aDoLYkCj9v,Analysis,60,1,5196,3631.799269,2290
AKEoPE8Sysh4Piidn,Analysis,60,2,4547,4366.41214,2822
6maA2TGTKyASoR8zZ,Analysis,60,3,4078,5078.930603,3303
rE6a6bnbEw5tJBfsJ,Analysis,60,4,3705,5806.324157,3684
BYiWkt7giAYEDgJMB,Analysis,60,5,3412,6527.962192,4199
LcztN3Cn8pDFTBPZc,Analysis,80,0,5900,3006.126271,1892
gqG8iWcSg69aAMdsC,Analysis,80,1,5018,3767.621363,2406
JgAgSB2hnBMywAKEk,Analysis,80,2,4369,4566.730831,2971
88uM4NFv4ZcCMaGTM,Analysis,80,3,3901,5353.703666,3452
Cxcc4pqD4fYLZ3Fpo,Analysis,80,4,3547,6128.389343,3933
FTdJXX3B9sYwpYF7D,Analysis,80,5,3261,6910.126035,4415
QkNiDLCMyugHQyve5,Analysis,100,0,5529,3173.268584,1991
T7whar2gF34SAnwy2,Analysis,100,1,4630,4096.220734,2639
ZMyhmGDC5ss8jKYoo,Analysis,100,2,4012,5023.95339,3253
L8EAgRR2z4pnp5agL,Analysis,100,3,3606,5863.75513,3776
rJj4dboL4LWKFE8v4,Analysis,100,4,3256,6782.90602,4380.5
M3EzaTajhJe3XBZmh,Analysis,100,5,3008,7622.141622,4796
EL5K7tgWYBTRnDP4Q,Analysis,120,0,5052,3435.683096,2157
wpfLWmG6jFYvnaNKc,Analysis,120,1,4174,4560.55654,2970
B9t9KAFueWs98monw,Analysis,120,2,3609,5650.072042,3618
5mxs2QRjiwi2aeaoF,Analysis,120,3,3236,6633.051298,4223.5
CCNdhFW3acHEgxX57,Analysis,120,4,2921,7712.376926,4961
ALq3JcjYZggzwNEE8,Analysis,120,5,2697,8684.968113,5526